Review Date,Show,Headline,Article Link,Star Rating
2024/aug/22,Wankernomics: As Per My Last Email,humdrum office hellscape,https://www.theguardian.com/stage/article/2024/aug/22/wankernomics-as-per-my-last-email-review-pleasance-courtyard-edinburgh,2/5
2024/aug/22,Abby Wambaugh: The First 3 Minutes of 17 Shows,dotty comedy debut belies a surprise,https://www.theguardian.com/stage/article/2024/aug/22/abby-wambaugh-the-first-3-minutes-of-17-shows-review-pleasance-courtyard-edinburgh,4/5
2024/aug/22,Show Pony,what happens when the circus says goodbye to you?,https://www.theguardian.com/stage/article/2024/aug/22/show-pony-review-bryony-kimmings-still-hungry-circus,4/5
2024/aug/22,Stuffed,urgent warning about food poverty drowned out by clowning,https://www.theguardian.com/stage/article/2024/aug/22/stuffed-review-pleasance-courtyard-edinburgh,2/5
2024/aug/21,Elf Lyons: Horses,playful clip-clop through equine culture,https://www.theguardian.com/stage/article/2024/aug/21/elf-lyons-horses-review-pleasance-courtyard-edinburgh,4/5
2024/aug/21,House of Life,glittering benediction from a joyously funky double act,https://www.theguardian.com/stage/article/2024/aug/21/house-of-life-review-underbelly-cowgate-edinburgh,4/5
2024/aug/21,Deadheads,the fraying of two sisters’ childhood bond,https://www.theguardian.com/stage/article/2024/aug/21/deadheads-review-assembly-george-square-edinburgh,4/5
2024/aug/21,Chris Cantrill: Easily Swayed,midlife distress call goes from one big laugh to another,https://www.theguardian.com/stage/article/2024/aug/21/chris-cantrill-easily-swayed-review-monkey-barrel-the-tron-edinburgh,4/5
2024/aug/21,Chris Cantrill: Easily Swayed,midlife distress call goes from one big laugh to another,https://www.theguardian.com/stage/article/2024/aug/21/man-a-one-woman-show-emma-taylor-underbelly-bristo-square-edinburgh,3/5
2024/aug/21,"It’s the Economy, Stupid!","engaging account of maths, money and personal cost",https://www.theguardian.com/stage/article/2024/aug/21/its-the-economy-stupid-review-pleasance-dome-edinburgh,3/5
2024/aug/20,"Ania Magliano: Forgive Me, Father",winning comedy about commitment and a lost coil,https://www.theguardian.com/stage/article/2024/aug/20/ania-magliano-forgive-me-father-review-pleasance-courtyard-edinburgh,4/5
2024/aug/20,3,knockabout fun as Ambika Mod rejoins her old improv gang,https://www.theguardian.com/stage/article/2024/aug/20/3-review-ambika-mod-improv-company-assembly-george-square,3/5
2024/aug/20,The 39 Steps,comic homage to Hitchcock thriller goes off the rails,https://www.theguardian.com/stage/article/2024/aug/20/the-39-steps-review-patrick-barlow-trafalgar-theatre-london,2/5
2024/aug/20,Andrew Doherty: Gay Witch Sex Cult,the funniest fringe horror since Garth Marenghi,https://www.theguardian.com/stage/article/2024/aug/20/andrew-doherty-gay-witch-sex-cult-review-pleasance-courtyard-edinburgh,4/5
2024/aug/19,Dan Tiernan: Stomp,can-smashing comic makes you wince and laugh,https://www.theguardian.com/stage/article/2024/aug/19/dan-tiernan-stomp-review,3/5
2024/aug/19,Chemo Savvy,cancer comedy inspired by actor Andy Gray is less about death than rebirth,https://www.theguardian.com/stage/article/2024/aug/19/chemo-savvy-review-gilded-balloon-edinburgh,3/5
2024/aug/18,Love Beyond,powerful story of dementia plays out like a thriller,https://www.theguardian.com/stage/article/2024/aug/18/love-beyond-review-assembly-george-square-edinburgh,4/5
2024/aug/18,Love Beyond,powerful story of dementia plays out like a thriller,https://www.theguardian.com/stage/article/2024/aug/18/the-birthday-party-ustinov-studio-theatre-royal-bath-richard-jones-harold-pinter-strangeness-reframed-jane-horrocks,3/5
2024/aug/18,Nigamon/Tunai,"utterly unique, magnetic, beautiful and sad",https://www.theguardian.com/stage/article/2024/aug/18/nigamon-tunai-review-studio-edinburgh,4/5
2024/aug/18,Jin Hao Li: Swimming in a Submarine,soothing meets unsettling in fringe comedy debut,https://www.theguardian.com/stage/article/2024/aug/18/jin-hao-li-review-pleasance-courtyard-edinburgh,3/5
2024/aug/18,Lynn Faces,offbeat comedy pays punk tribute to Alan Partridge’s PA,https://www.theguardian.com/stage/article/2024/aug/18/lynn-faces-review-alan-partridge-lynn-benfield-summerhall-edinburgh,3/5
2024/aug/18,One Man Musical by Flo & Joan,Andrew Lloyd Webber gets ‘a show about me!’,https://www.theguardian.com/stage/article/2024/aug/18/one-man-musical-by-flo-joan-review-andrew-lloyd-webber-pleasance-dome-edinburgh,4/5
2024/aug/17,Sheeps: The Giggle Bunch (That’s Our Name for You),still crazily funny after all these years,https://www.theguardian.com/stage/article/2024/aug/17/sheeps-review-pleasance-courtyard-edinburgh,4/5
2024/aug/17,Playfight,enthralling tale of the ascent to adulthood,https://www.theguardian.com/stage/article/2024/aug/17/playfight-review-roundabout-summerhall-edinburgh,4/5
